analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:48932 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39036 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39036 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:39048 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33384 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33384 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/secondary_kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/feature_usage_series?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /features/usage?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /features/activity?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /tenants?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/realtime_users?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/pages_per_minute?tenants=nexabank HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/top_pages?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/devices?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/channels?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /locations?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /audit_logs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /features/configs?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /metrics/retention?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:33396 - "GET /funnels?tenants=nexabank&steps=login,dashboard_view,loan_applied,kyc_started,kyc_completed&window_minutes=60&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59524 - "GET /metrics/kpi?tenants=nexabank&range=7d HTTP/1.1" 200 OK
analytics-api-1  | INFO:     172.20.0.1:59524 - "GET /metrics/traffic?tenants=nexabank&range=7d HTTP/1.1" 200 OK
